"team_name","number","name","name_kana","grade","position","height","previous_team","is_captain","notes"
"浦和東高校","16","岡田陸","オカダリク","2","DF","175","浦和東高校Jr","False",""
"浦和東高校","17","井上真人","イノウエマサト","1","MF","172","浦和東高校Jr","False",""
"浦和東高校","18","阿部匠","アベタクミ","1","MF","167","浦和東高校Jr","False",""
"浦和東高校","19","木村隼人","キムラハヤト","1","FW","171","浦和東高校Jr","False",""
"浦和東高校","20","藤井翔太","フジイショウタ","1","DF","173","浦和東高校Jr","False",""
"浦和東高校","21","小川海","オガワカイ","1","MF","166","浦和東高校Jr","False",""
"浦和東高校","22","岸優也","キシユウヤ","1","FW","180","浦和東高校Jr","False",""
"浦和東高校","23","橋本怜","ハシモトレイ","1","DF","176","浦和東高校Jr","False",""
"浦和東高校","24","森田樹","モリタイツキ","1","MF","167","浦和東高校Jr","False",""
"市立浦和高校","1","佐藤太一","サトウタイチ","3","GK","182","市立浦和高校Jr","False",""
"市立浦和高校","2","田中亮","タナカリョウ","3","DF","178","市立浦和高校Jr","False",""
"市立浦和高校","3","加藤駿","カトウシュン","3","DF","175","市立浦和高校Jr","False",""
"市立浦和高校","4","鈴木慧","スズキケイ","3","DF","174","市立浦和高校Jr","False",""
"市立浦和高校","5","渡辺悠斗","ワタナベユウト","3","DF","170","市立浦和高校Jr","False",""
"市立浦和高校","6","中村颯太","ナカムラソウタ","3","MF","176","市立浦和高校Jr","False",""
"市立浦和高校","7","伊藤陽斗","イトウハルト","3","MF","172","市立浦和高校Jr","False",""
"市立浦和高校","8","山本健太","ヤマモトケンタ","3","MF","173","市立浦和高校Jr","False",""
"市立浦和高校","9","小林蓮","コバヤシレン","2","MF","171","市立浦和高校Jr","False",""
"市立浦和高校","10","吉田翼","ヨシダツバサ","2","MF","175","市立浦和高校Jr","True","主将"
"市立浦和高校","11","斎藤大輝","サイトウダイキ","2","FW","178","市立浦和高校Jr","False",""
"市立浦和高校","12","森直樹","モリナオキ","2","FW","174","市立浦和高校Jr","False",""
"市立浦和高校","13","清水航平","シミズコウヘイ","2","FW","170","市立浦和高校Jr","False",""
"市立浦和高校","14","新井悠成","アライユウセイ","2","MF","168","市立浦和高校Jr","False",""
"市立浦和高校","15","石井空","イシイソラ","2","DF","169","市立浦和高校Jr","False",""
"市立浦和高校","16","岡田陸","オカダリク","2","DF","175","市立浦和高校Jr","False",""
"市立浦和高校","17","井上真人","イノウエマサト","1","MF","172","市立浦和高校Jr","False",""
"市立浦和高校","18","阿部匠","アベタクミ","1","MF","167","市立浦和高校Jr","False",""
"市立浦和高校","19","木村隼人","キムラハヤト","1","FW","171","市立浦和高校Jr","False",""
"市立浦和高校","20","藤井翔太","フジイショウタ","1","DF","173","市立浦和高校Jr","False",""
"市立浦和高校","21","小川海","オガワカイ","1","MF","166","市立浦和高校Jr","False",""
"市立浦和高校","22","岸優也","キシユウヤ","1","FW","180","市立浦和高校Jr","False",""
"市立浦和高校","23","橋本怜","ハシモトレイ","1","DF","176","市立浦和高校Jr","False",""
"市立浦和高校","24","森田樹","モリタイツキ","1","MF","167","市立浦和高校Jr","False",""
"浦和学院高校","1","佐藤太一","サトウタイチ","3","GK","182","浦和学院高校Jr","False",""
"浦和学院高校","2","田中亮","タナカリョウ","3","DF","178","浦和学院高校Jr","False",""
"浦和学院高校","3","加藤駿","カトウシュン","3","DF","175","浦和学院高校Jr","False",""
"浦和学院高校","4","鈴木慧","スズキケイ","3","DF","174","浦和学院高校Jr","False",""
"浦和学院高校","5","渡辺悠斗","ワタナベユウト","3","DF","170","浦和学院高校Jr","False",""
"浦和学院高校","6","中村颯太","ナカムラソウタ","3","MF","176","浦和学院高校Jr","False",""
"浦和学院高校","7","伊藤陽斗","イトウハルト","3","MF","172","浦和学院高校Jr","False",""
"浦和学院高校","8","山本健太","ヤマモトケンタ","3","MF","173","浦和学院高校Jr","False",""
"浦和学院高校","9","小林蓮","コバヤシレン","2","MF","171","浦和学院高校Jr","False",""
"浦和学院高校","10","吉田翼","ヨシダツバサ","2","MF","175","浦和学院高校Jr","True","主将"
"浦和学院高校","11","斎藤大輝","サイトウダイキ","2","FW","178","浦和学院高校Jr","False",""
"浦和学院高校","12","森直樹","モリナオキ","2","FW","174","浦和学院高校Jr","False",""
"浦和学院高校","13","清水航平","シミズコウヘイ","2","FW","170","浦和学院高校Jr","False",""
"浦和学院高校","14","新井悠成","アライユウセイ","2","MF","168","浦和学院高校Jr","False",""
"浦和学院高校","15","石井空","イシイソラ","2","DF","169","浦和学院高校Jr","False",""
"浦和学院高校","16","岡田陸","オカダリク","2","DF","175","浦和学院高校Jr","False",""
"浦和学院高校","17","井上真人","イノウエマサト","1","MF","172","浦和学院高校Jr","False",""
"浦和学院高校","18","阿部匠","アベタクミ","1","MF","167","浦和学院高校Jr","False",""
"浦和学院高校","19","木村隼人","キムラハヤト","1","FW","171","浦和学院高校Jr","False",""
"浦和学院高校","20","藤井翔太","フジイショウタ","1","DF","173","浦和学院高校Jr","False",""
"浦和学院高校","21","小川海","オガワカイ","1","MF","166","浦和学院高校Jr","False",""
"浦和学院高校","22","岸優也","キシユウヤ","1","FW","180","浦和学院高校Jr","False",""
"浦和学院高校","23","橋本怜","ハシモトレイ","1","DF","176","浦和学院高校Jr","False",""
"浦和学院高校","24","森田樹","モリタイツキ","1","MF","167","浦和学院高校Jr","False",""
"武南高校","1","佐藤太一","サトウタイチ","3","GK","182","武南高校Jr","False",""
"武南高校","2","田中亮","タナカリョウ","3","DF","178","武南高校Jr","False",""
"武南高校","3","加藤駿","カトウシュン","3","DF","175","武南高校Jr","False",""
"武南高校","4","鈴木慧","スズキケイ","3","DF","174","武南高校Jr","False",""
"武南高校","5","渡辺悠斗","ワタナベユウト","3","DF","170","武南高校Jr","False",""
"武南高校","6","中村颯太","ナカムラソウタ","3","MF","176","武南高校Jr","False",""
"武南高校","7","伊藤陽斗","イトウハルト","3","MF","172","武南高校Jr","False",""
"武南高校","8","山本健太","ヤマモトケンタ","3","MF","173","武南高校Jr","False",""
"武南高校","9","小林蓮","コバヤシレン","2","MF","171","武南高校Jr","False",""
"武南高校","10","吉田翼","ヨシダツバサ","2","MF","175","武南高校Jr","True","主将"
"武南高校","11","斎藤大輝","サイトウダイキ","2","FW","178","武南高校Jr","False",""
"武南高校","12","森直樹","モリナオキ","2","FW","174","武南高校Jr","False",""
"武南高校","13","清水航平","シミズコウヘイ","2","FW","170","武南高校Jr","False",""
"武南高校","14","新井悠成","アライユウセイ","2","MF","168","武南高校Jr","False",""
"武南高校","15","石井空","イシイソラ","2","DF","169","武南高校Jr","False",""
"武南高校","16","岡田陸","オカダリク","2","DF","175","武南高校Jr","False",""
"武南高校","17","井上真人","イノウエマサト","1","MF","172","武南高校Jr","False",""
"武南高校","18","阿部匠","アベタクミ","1","MF","167","武南高校Jr","False",""
"武南高校","19","木村隼人","キムラハヤト","1","FW","171","武南高校Jr","False",""
"武南高校","20","藤井翔太","フジイショウタ","1","DF","173","武南高校Jr","False",""
"武南高校","21","小川海","オガワカイ","1","MF","166","武南高校Jr","False",""
"武南高校","22","岸優也","キシユウヤ","1","FW","180","武南高校Jr","False",""
"武南高校","23","橋本怜","ハシモトレイ","1","DF","176","武南高校Jr","False",""
"武南高校","24","森田樹","モリタイツキ","1","MF","167","武南高校Jr","False",""
